17437,101,0.10
17540,102,0.14
17641,100,0.05
17743,101,0.07
17845,101,-0.05
17947,101,0.06
18050,102,0.09
18151,101,0.00
18253,101,0.02
18355,101,0.03
18457,101,0.03
18558,100,0.02
18661,101,0.07
18763,101,0.02
18865,101,0.07
18967,101,0.14
19068,100,0.01
19171,102,0.11
19273,101,0.08
19375,102,0.03
19477,101,-0.04
19578,100,-0.04
19681,102,-0.04
19783,101,0.02
19885,102,0.04
19987,101,0.01
20088,100,-0.09
20191,102,-0.12
20292,100,0.03
20395,102,-0.08
20497,101,0.06
20598,100,0.01
20701,102,0.03
20802,100,0.10
20904,101,0.08
21007,102,0.05
21108,101,0.10
21211,102,0.19
21312,100,-0.04
21414,101,-0.18
21517,102,-0.30
21618,101,-1.29
21721,102,-0.89
21822,100,-1.39
21924,101,-0.60
22026,101,-1.66
22128,101,-2.67
22231,102,0.55
22332,100,5.19
22434,101,13.17
22536,101,16.47
22638,101,17.28
22740,101,18.26
22842,102,18.10
22944,101,15.69
23046,101,16.22
23148,101,16.81
23249,100,18.05
23352,102,19.07
23454,101,19.33
23556,101,18.92
23658,101,19.47
23759,100,18.79
23862,102,18.71
23964,101,19.08
24066,101,18.69
24168,101,18.50
24269,100,18.67
24372,102,18.63
24474,101,18.62
24576,102,18.37
24678,101,16.99
24779,100,14.65
24882,102,15.69
24983,100,16.15
25085,101,18.11
25188,102,20.27
25289,100,19.99
25392,102,20.32
25493,100,20.32
25595,101,19.83
25698,102,20.20
25799,100,19.99
25902,102,20.12
26003,100,20.10
26105,101,18.93
26208,102,13.02
26309,101,5.16
26412,102,0.48
26513,100,-0.74
26615,101,1.29
26717,101,5.21
26819,101,5.89
26921,101,7.80
27023,100,9.89
27125,101,10.78
27227,101,7.27
27329,101,5.89
27431,101,6.01
27533,102,7.20
27635,101,7.23
27737,101,6.74
27839,101,-0.17
27940,100,0.07
28043,102,0.10
28145,101,0.08
28247,101,0.13
28349,101,0.06
28450,100,0.00
28553,102,0.11
28655,101,0.18
28756,101,0.04
28859,101,0.12
28960,100,0.24
29063,102,0.06
29165,101,0.16
29266,101,0.25
29369,102,0.24
29470,100,0.05
29573,102,0.14
29674,100,0.14
29776,101,0.17
29879,102,0.08
29980,101,0.15
30083,102,0.22
30184,100,0.07
30286,101,0.09
30389,102,0.16
30490,101,0.22
30593,102,0.13
30694,100,0.13
30796,101,0.27
30898,101,0.21
31000,101,0.25
31102,101,0.20
31204,102,0.14
31306,101,0.13
31408,101,0.23
31510,101,0.08
31612,101,0.17
31714,102,0.09
31816,101,0.08
31918,101,0.01
32020,101,0.20
32121,100,0.04
32224,102,0.10
32326,101,0.21
32428,102,0.16
32530,101,0.14
32631,100,0.08
32734,102,0.19
32836,101,0.21
32937,101,0.29
33040,101,0.14
33141,100,0.10
33244,102,0.11
33345,100,0.17
33447,101,0.04
33550,102,0.18
33651,101,0.16
33754,102,0.04
33855,100,0.22
33957,101,0.23
34060,102,0.24
34161,101,0.06
34264,102,0.12
34365,100,0.12
34467,101,0.20
34569,101,0.18
34671,101,0.27
34774,102,0.27
34875,100,0.23
34977,101,0.18
35079,101,-0.00
35181,101,0.13
35283,101,0.21
35385,102,0.14
35487,101,0.14
35589,101,0.08
35691,101,0.08
35792,100,0.12
35895,102,0.23
35997,101,0.11
36099,101,0.13
36201,101,0.18
36302,100,0.20
36405,102,0.04
36507,101,0.05
36609,102,0.08
36711,101,0.05
36812,100,0.15
36915,102,0.16
37016,100,0.13
37118,101,0.14
37221,101,0.08
37322,100,0.11
37425,102,0.20
37526,100,0.17
37628,101,0.19
37731,102,0.19
37832,101,0.20
37935,102,0.17
38036,100,0.24
38138,101,0.23
38241,102,0.12
38342,101,0.13
38445,102,0.23
38546,100,0.13
38648,101,0.05
38750,101,0.09
38852,101,0.10
38955,102,0.07
39056,101,0.08
39158,101,0.14
39260,101,0.20
39362,101,0.14
39463,100,0.11
39566,102,0.18
39668,101,0.22
39770,101,0.13
39872,101,0.19
39973,100,0.27
40076,102,0.20
40178,101,0.14
40280,102,0.09
40382,101,0.20
40483,100,0.08
40586,102,0.11
40688,100,0.04
40790,102,0.10
40892,101,0.23
40993,100,0.21
41096,102,0.04
41197,100,0.04
41299,101,0.02
41402,102,0.09
41503,101,0.21
41606,102,0.20
41707,100,0.10
41809,101,0.03
41912,102,0.08
42013,101,0.09
42116,102,0.17
